TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
999,5,Friday,68113152929,-1,FINANCIAL SERVICES,1000
30,7,Friday,60538815980,1,SHOES,8931
30,7,Friday,7410811099,1,PERSONAL CARE,4504
26,8,Friday,2238403510,2,PAINT AND ACCESSORIES,3565
26,8,Friday,2006613744,2,PAINT AND ACCESSORIES,1017
26,8,Friday,2006618783,2,PAINT AND ACCESSORIES,1017
26,8,Friday,2006613743,1,PAINT AND ACCESSORIES,1017
26,8,Friday,7004802737,1,PAINT AND ACCESSORIES,2802
26,8,Friday,2238495318,1,PAINT AND ACCESSORIES,4501
26,8,Friday,2238400200,-1,PAINT AND ACCESSORIES,3565
26,8,Friday,5200010239,1,DSD GROCERY,4606
26,8,Friday,88679300501,2,PAINT AND ACCESSORIES,3504
26,8,Friday,22006000000,1,MEAT - FRESH & FROZEN,6009
26,8,Friday,2236760452,1,PAINT AND ACCESSORIES,7
26,8,Friday,88679300501,-1,PAINT AND ACCESSORIES,3504
26,8,Friday,2238400200,2,PAINT AND ACCESSORIES,3565
26,8,Friday,3019294203,1,PAINT AND ACCESSORIES,2801
26,8,Friday,72450408840,1,PAINT AND ACCESSORIES,1028
26,8,Friday,25541500000,2,DAIRY,1305
26,8,Friday,2310010776,1,PETS AND SUPPLIES,3300
26,8,Friday,72450403700,2,PAINT AND ACCESSORIES,1018
26,8,Friday,7874204967,1,HOUSEHOLD CHEMICALS/SUPP,707
26,8,Friday,5114139038,1,PAINT AND ACCESSORIES,4415
26,8,Friday,5114197561,1,PAINT AND ACCESSORIES,4415
26,8,Friday,3270011053,3,PETS AND SUPPLIES,1001
26,8,Friday,,1,NULL,
8,9,Friday,1070080727,1,IMPULSE MERCHANDISE,115
8,9,Friday,3107,1,PRODUCE,103
8,9,Friday,4011,1,PRODUCE,5501
8,10,Friday,6414410235,1,DSD GROCERY,2008
8,10,Friday,2800053970,1,"CANDY, TOBACCO, COOKIES",115
8,10,Friday,7794800902,1,DSD GROCERY,7950
35,11,Friday,4178900743,1,GROCERY DRY GOODS,3114
35,11,Friday,7800002374,1,DSD GROCERY,3467
35,11,Friday,2840028204,1,IMPULSE MERCHANDISE,808
35,11,Friday,7920018317,1,IMPULSE MERCHANDISE,110
41,12,Friday,7603138508,1,BOYS WEAR,654
41,12,Friday,3700001196,1,PERSONAL CARE,5050
41,12,Friday,88530635155,1,BOYS WEAR,639
41,12,Friday,3500076633,1,PERSONAL CARE,203
41,12,Friday,5460010568,1,HOUSEHOLD CHEMICALS/SUPP,52
41,12,Friday,1920076878,1,HOUSEHOLD CHEMICALS/SUPP,6010
41,12,Friday,72503326306,1,SHOES,3031
21,15,Friday,2899521885,1,FABRICS AND CRAFTS,1056
21,15,Friday,2899521479,1,FABRICS AND CRAFTS,1059
21,15,Friday,2899521979,1,FABRICS AND CRAFTS,1062
21,15,Friday,2898195004,2,FABRICS AND CRAFTS,514
21,15,Friday,2899521887,1,FABRICS AND CRAFTS,1057
21,15,Friday,5.01139E+11,1,FABRICS AND CRAFTS,1309
21,15,Friday,2898122051,1,FABRICS AND CRAFTS,514
21,15,Friday,5.01139E+11,1,FABRICS AND CRAFTS,1309
6,17,Friday,2840009251,1,DSD GROCERY,3352
6,17,Friday,2610000575,1,"CANDY, TOBACCO, COOKIES",8012
6,17,Friday,1200004300,1,DSD GROCERY,9501
6,17,Friday,3170004855,1,"CANDY, TOBACCO, COOKIES",8430
42,19,Friday,7675335744,1,IMPULSE MERCHANDISE,8904
42,19,Friday,61156653747,1,JEWELRY AND SUNGLASSES,556
42,19,Friday,88743955560,1,MENS WEAR,144
42,19,Friday,6.92657E+11,1,FABRICS AND CRAFTS,397
42,19,Friday,7675335744,1,IMPULSE MERCHANDISE,8904
42,19,Friday,6.95334E+11,1,ACCESSORIES,122
42,19,Friday,88530637205,1,MENS WEAR,5201
42,19,Friday,88309608561,1,MENS WEAR,5661
42,19,Friday,3181070312,1,HOME MANAGEMENT,8124
7,20,Friday,7192191720,1,FROZEN FOODS,9117
7,20,Friday,68113106754,2,SERVICE DELI,4010
9,23,Friday,4011,1,PRODUCE,5501
9,23,Friday,6.9225E+11,1,HOME MANAGEMENT,3005
8,25,Friday,7874207120,1,INFANT CONSUMABLE HARDLINES,9012
8,25,Friday,1590000097,1,PRE PACKED DELI,7501
8,25,Friday,7874208815,1,INFANT CONSUMABLE HARDLINES,222
39,26,Friday,89470001034,2,DAIRY,1450
39,26,Friday,84943400209,1,COOK AND DINE,2072
39,26,Friday,3663200828,1,FROZEN FOODS,1850
39,26,Friday,81829001273,3,DAIRY,1450
39,26,Friday,89470001006,1,DAIRY,1450
39,26,Friday,79108330121,1,PHARMACY OTC,535
39,26,Friday,4011,1,PRODUCE,5501
39,26,Friday,7874202251,1,FROZEN FOODS,2003
39,26,Friday,4009450167,1,COOK AND DINE,579
25,28,Friday,8.80552E+11,1,LADIESWEAR,313
25,28,Friday,80859474194,1,LADIESWEAR,4447
25,28,Friday,4900003661,1,DSD GROCERY,9538
25,28,Friday,9933894190,1,LADIESWEAR,1180
25,28,Friday,2430004350,1,COMM BREAD,3709
25,28,Friday,7874298806,1,BAKERY,2010
25,28,Friday,7874298808,1,BAKERY,2010
25,28,Friday,4900001463,1,DSD GROCERY,9538
8,29,Friday,1200001311,1,DSD GROCERY,9205
9,30,Friday,9933894219,1,LADIESWEAR,1180
8,31,Friday,7874298393,1,BAKERY,5024
8,31,Friday,71514111356,1,DAIRY,9020
8,32,Friday,3400000246,1,IMPULSE MERCHANDISE,100
8,33,Friday,4178900743,2,GROCERY DRY GOODS,3114
8,33,Friday,61126911357,1,DSD GROCERY,3467
8,40,Friday,4900001801,1,DSD GROCERY,9546
8,40,Friday,2560000134,2,IMPULSE MERCHANDISE,611
8,41,Friday,7618316372,1,DSD GROCERY,3054
8,41,Friday,7066208720,2,GROCERY DRY GOODS,3114
8,42,Friday,4000049483,1,IMPULSE MERCHANDISE,115
38,43,Friday,7874235186,1,DAIRY,1508
38,43,Friday,2610000575,1,"CANDY, TOBACCO, COOKIES",8012
38,43,Friday,3800057608,1,GROCERY DRY GOODS,3600
38,43,Friday,7962160010,1,PRE PACKED DELI,7204
8,45,Friday,4610000113,1,DAIRY,7960
8,45,Friday,2898978601,1,FROZEN FOODS,1908
8,45,Friday,930000038,1,GROCERY DRY GOODS,2502
8,45,Friday,7343509330,1,COMM BREAD,3791
35,47,Friday,8939615297,2,DSD GROCERY,3458
35,47,Friday,4119691401,2,GROCERY DRY GOODS,3108
35,47,Friday,3400037600,1,IMPULSE MERCHANDISE,125
15,49,Friday,4011,1,PRODUCE,5501
15,49,Friday,2200001596,1,IMPULSE MERCHANDISE,110
15,49,Friday,7464102712,1,PRODUCE,5906
15,49,Friday,7464100287,1,PRODUCE,5964
15,49,Friday,1786980439,1,SERVICE DELI,6036
9,50,Friday,3825775410,1,MENS WEAR,8218
8,51,Friday,84105800524,1,PERSONAL CARE,1406
8,51,Friday,1204404003,1,PERSONAL CARE,109
8,53,Friday,4016,1,PRODUCE,1201
8,54,Friday,2430078116,1,COMM BREAD,2286
15,55,Friday,87458603507,5,IMPULSE MERCHANDISE,8023
15,55,Friday,7874201839,1,HOUSEHOLD PAPER GOODS,5020
15,55,Friday,1090008031,1,HOUSEHOLD PAPER GOODS,6640
15,55,Friday,87458603516,1,IMPULSE MERCHANDISE,8023
15,55,Friday,7874202400,1,HOUSEHOLD PAPER GOODS,5010
15,55,Friday,1117932451,2,CELEBRATION,140
8,56,Friday,2840043393,1,IMPULSE MERCHANDISE,808
8,56,Friday,4900004086,1,DSD GROCERY,9546
8,57,Friday,9870,1,BAKERY,1026
26,61,Friday,1164633541,1,HARDWARE,1101
26,61,Friday,7535314088,1,HARDWARE,5525
26,61,Friday,7535309226,5,HARDWARE,5525
26,61,Friday,36382420220,1,PHARMACY OTC,1300
26,61,Friday,7535309202,1,HARDWARE,5525
26,61,Friday,7535309202,1,HARDWARE,5525
26,61,Friday,7003030410,1,PHARMACY OTC,1101
26,61,Friday,3700000338,1,PERSONAL CARE,211
36,63,Friday,7976503128,1,DSD GROCERY,9206
36,63,Friday,1750020722,1,HOUSEHOLD CHEMICALS/SUPP,1210
36,63,Friday,1700006809,1,PERSONAL CARE,55
36,63,Friday,1750020942,1,HOUSEHOLD CHEMICALS/SUPP,1210
36,63,Friday,1910010992,1,BEAUTY,4010
9,68,Friday,4282560278,1,MENS WEAR,8225
20,69,Friday,82720410582,1,AUTOMOTIVE,9002
20,69,Friday,7480851084,1,BOOKS AND MAGAZINES,19
20,69,Friday,7874210460,1,AUTOMOTIVE,2500
20,69,Friday,7148601319,1,BOOKS AND MAGAZINES,324
7,72,Friday,1200000131,1,DSD GROCERY,9547
7,72,Friday,22495500000,1,SERVICE DELI,4041
7,72,Friday,2840043618,1,IMPULSE MERCHANDISE,808
8,74,Friday,2430078116,2,COMM BREAD,2286
7,76,Friday,1312001036,1,FROZEN FOODS,1801
7,76,Friday,7539100261,1,SEAFOOD,1053
7,76,Friday,68113132894,1,PRODUCE,7002
7,76,Friday,3151,1,PRODUCE,7801
39,79,Friday,4000049570,1,"CANDY, TOBACCO, COOKIES",224
39,79,Friday,7874236711,1,GROCERY DRY GOODS,3557
39,79,Friday,3800021441,1,GROCERY DRY GOODS,3557
39,79,Friday,1600026460,1,GROCERY DRY GOODS,3554
39,79,Friday,980000071,1,"CANDY, TOBACCO, COOKIES",85
39,79,Friday,4000034759,1,"CANDY, TOBACCO, COOKIES",224
39,79,Friday,2200000512,1,IMPULSE MERCHANDISE,135
39,79,Friday,6.94147E+11,2,OFFICE SUPPLIES,5806
9,81,Friday,71441514160,1,IMPULSE MERCHANDISE,8296
36,83,Friday,7050129797,1,IMPULSE MERCHANDISE,323
36,83,Friday,85922000108,1,PERSONAL CARE,6105
36,83,Friday,63216911176,1,PERSONAL CARE,6105
36,83,Friday,3600036926,2,PERSONAL CARE,9103
36,83,Friday,3700000496,1,PERSONAL CARE,9101
36,83,Friday,68113176946,1,PHARMACY OTC,2306
36,83,Friday,4460001665,1,PERSONAL CARE,9106
36,83,Friday,7704311583,1,PERSONAL CARE,9107
36,83,Friday,18456000004,1,PERSONAL CARE,6103
9,84,Friday,4316875210,1,HARDWARE,4513
9,84,Friday,4613510253,1,HARDWARE,4509
8,85,Friday,4000000432,1,IMPULSE MERCHANDISE,115
8,85,Friday,4000042431,1,IMPULSE MERCHANDISE,100
37,86,Friday,7225001102,1,COMM BREAD,3761
37,86,Friday,7464100146,1,PRODUCE,5930
37,86,Friday,75166647006,2,PRODUCE,7841
37,86,Friday,75166647006,1,PRODUCE,7841
37,86,Friday,3000006403,1,GROCERY DRY GOODS,3555
37,86,Friday,8680000522,1,BEAUTY,2105
37,86,Friday,3338365301,1,PRODUCE,7602
37,86,Friday,71722616151,1,PERSONAL CARE,5018
37,86,Friday,7073405372,1,GROCERY DRY GOODS,3352
37,86,Friday,4046,1,PRODUCE,5620
37,86,Friday,4062,1,PRODUCE,8104
37,86,Friday,2529360102,2,DAIRY,1511
37,86,Friday,7092047449,1,GROCERY DRY GOODS,3401
37,86,Friday,7874235255,1,GROCERY DRY GOODS,2456
37,86,Friday,1450001463,1,FROZEN FOODS,3003
37,86,Friday,7874201846,1,HOUSEHOLD PAPER GOODS,265
37,86,Friday,7874235189,1,DAIRY,1508
37,86,Friday,3107,1,PRODUCE,103
37,86,Friday,7874237389,1,FROZEN FOODS,1752
37,86,Friday,7146410017,1,PRODUCE,7652
37,86,Friday,4011,1,PRODUCE,5501
37,86,Friday,4850002013,1,DAIRY,1404
37,86,Friday,5215953200,1,DAIRY,7954
37,86,Friday,4300004304,1,GROCERY DRY GOODS,3308
7,87,Friday,7106841012,1,FROZEN FOODS,4063
8,91,Friday,2430078106,1,COMM BREAD,2286
32,92,Friday,88530636725,1,MENS WEAR,5101
32,92,Friday,7874203255,1,INFANT CONSUMABLE HARDLINES,717
32,92,Friday,3700089226,1,PERSONAL CARE,203
8,93,Friday,4011,1,PRODUCE,5501
8,95,Friday,7790047132,1,FROZEN FOODS,1204
38,97,Friday,2100060847,1,DAIRY,7957
38,97,Friday,2700031150,1,DAIRY,1221
38,97,Friday,7874235187,1,DAIRY,1508
38,97,Friday,7225003706,2,COMM BREAD,3702
38,97,Friday,5200013226,1,DSD GROCERY,4606
38,97,Friday,3800059655,1,GROCERY DRY GOODS,3600
38,97,Friday,5210009004,1,GROCERY DRY GOODS,4250
38,97,Friday,7874235190,1,DAIRY,1406
38,97,Friday,4133112420,1,GROCERY DRY GOODS,4290
38,97,Friday,4812127707,1,COMM BREAD,3719
38,97,Friday,5150000693,1,GROCERY DRY GOODS,2601
38,97,Friday,5210009003,1,GROCERY DRY GOODS,4250
38,97,Friday,4133112466,1,GROCERY DRY GOODS,4290
40,98,Friday,7874201706,1,DSD GROCERY,3562
40,98,Friday,3400001314,1,"CANDY, TOBACCO, COOKIES",78
40,98,Friday,7874200645,1,DSD GROCERY,4672
40,98,Friday,60538815805,2,SHOES,4815
40,98,Friday,7431255366,1,PHARMACY OTC,502
40,98,Friday,68113104849,1,BEAUTY,3907
40,98,Friday,81655901251,1,PERSONAL CARE,3123
40,98,Friday,7874209667,1,HOUSEHOLD PAPER GOODS,6010
40,98,Friday,7874209664,1,HOUSEHOLD PAPER GOODS,6020
40,98,Friday,4000048815,1,"CANDY, TOBACCO, COOKIES",79
40,98,Friday,74759932274,1,"CANDY, TOBACCO, COOKIES",544
40,98,Friday,3700057591,1,PERSONAL CARE,801
40,98,Friday,4693,1,PRODUCE,4450
40,98,Friday,72864925754,1,LAWN AND GARDEN,102
40,98,Friday,3400001327,1,"CANDY, TOBACCO, COOKIES",78
40,98,Friday,7874201601,2,DSD GROCERY,4676
40,98,Friday,4144930197,1,GROCERY DRY GOODS,4056
40,98,Friday,7172512498,1,DSD GROCERY,4673
40,98,Friday,7045011864,1,DSD GROCERY,4647
40,98,Friday,4144930022,1,GROCERY DRY GOODS,4056
40,98,Friday,7874223029,1,GROCERY DRY GOODS,3555
40,98,Friday,3010026351,1,DSD GROCERY,3856
40,98,Friday,68113168758,3,PHARMACY OTC,3534
40,98,Friday,3320001140,1,GROCERY DRY GOODS,4001
40,98,Friday,74759961274,1,GROCERY DRY GOODS,4002
40,98,Friday,3120020297,1,DSD GROCERY,4639
40,98,Friday,1700006813,1,PERSONAL CARE,4933
40,98,Friday,4740004472,1,PERSONAL CARE,1403
40,98,Friday,2840018734,1,DSD GROCERY,3658
40,98,Friday,1600015990,1,DSD GROCERY,3665
40,98,Friday,74759964015,1,GROCERY DRY GOODS,4002
40,98,Friday,80276302882,1,DSD GROCERY,4675
40,98,Friday,3120027015,1,DSD GROCERY,4639
40,98,Friday,68113118722,1,PHARMACY OTC,1352
40,98,Friday,7874206209,1,DSD GROCERY,9820
40,98,Friday,3940001614,2,GROCERY DRY GOODS,2828
40,98,Friday,7906800310,3,PHARMACY OTC,3533
40,98,Friday,1600013680,1,DSD GROCERY,3665
40,98,Friday,3890000513,2,GROCERY DRY GOODS,2757
40,98,Friday,3120000291,1,DSD GROCERY,4672
40,98,Friday,4400002799,1,DSD GROCERY,4156
40,98,Friday,4000042134,1,"CANDY, TOBACCO, COOKIES",79
8,99,Friday,7874235201,1,DAIRY,1515
8,99,Friday,1600027503,1,GROCERY DRY GOODS,3600
37,100,Friday,4383,1,PRODUCE,3102
8,102,Friday,7874235200,1,DAIRY,1515
8,103,Friday,4011,1,PRODUCE,5501
5,105,Friday,63748004256,2,PHARMACY OTC,309
5,105,Friday,63748006502,1,PHARMACY OTC,312
5,105,Friday,68113118730,1,PHARMACY OTC,2561
3,106,Friday,68113163351,1,FINANCIAL SERVICES,275
3,106,Friday,60538896309,1,FINANCIAL SERVICES,276
8,107,Friday,4900005537,1,DSD GROCERY,9556
8,110,Friday,4110080982,1,PHARMACY OTC,1638
8,110,Friday,3700026882,1,PERSONAL CARE,811
8,117,Friday,1200081331,1,DSD GROCERY,3405
3,121,Friday,68113163352,1,FINANCIAL SERVICES,278
3,121,Friday,68113163353,1,FINANCIAL SERVICES,277
15,123,Friday,7874208830,1,HOUSEHOLD PAPER GOODS,5010
15,123,Friday,7001197990,1,SHEER HOSIERY,2771
15,123,Friday,7001197991,1,SHEER HOSIERY,2771
15,123,Friday,4900005010,1,DSD GROCERY,9570
15,123,Friday,7297900418,1,DSD GROCERY,3004
15,123,Friday,7800008246,1,DSD GROCERY,9580
15,123,Friday,7874201454,1,HOUSEHOLD PAPER GOODS,5510
15,123,Friday,4900006633,1,DSD GROCERY,9570
8,124,Friday,9870,1,BAKERY,1026
6,125,Friday,7013710523,1,"CANDY, TOBACCO, COOKIES",8430
4,130,Friday,68113177638,1,PHARMACY OTC,2124
4,130,Friday,7874235338,1,GROCERY DRY GOODS,4253
4,130,Friday,81483201043,2,PHARMACY OTC,1110
4,130,Friday,5084452902,1,PHARMACY OTC,1121
4,130,Friday,1650055954,1,PHARMACY OTC,1121
4,130,Friday,7566919900,1,GROCERY DRY GOODS,4291
9,132,Friday,6700886206,1,CELEBRATION,6
9,132,Friday,64541613597,-1,CELEBRATION,6
9,132,Friday,64541613597,2,CELEBRATION,6
9,132,Friday,6700886206,-1,CELEBRATION,6
